ACTH's:ACT,H's
AFAIKs:AFAIK,s
AIDSes:AIDS,es
ASCIIs:ASCII,s
Abbado:Abba,do
Abbott:Ab,bott
Abby's:Ab,by's
Abel's:A,bel's
Abrams:Ab,rams
Abroma:Ab,roma
Acampo:A,campo
Achebe:Ac,hebe
Acomas:A,comas
Acosta:A,costa
Adah's:A,dah's
Adam's:A,dam's
Adamic:Ada,mic
Aden's:A,den's
Adin's:A,din's
Adolfo:Adolf,o
Adonai:Adona,i
Africa:Afric,a
Afro's:A,fro's
Agar's:A,gar's
Agee's:A,gee's
Aggies:Ag,gies
Agness:Ag,ness
Aintab:Ain,tab
Aire's:A,ire's
Akelas:Akela,s
Akitas:Akita,s
Alai's:Al,ai's
Alaska:Ala,ska
Albany:Alb,any
Albers:Alb,ers
Albert:Alb,ert
Albion:Alb,ion
Alborg:Al,borg
Alborn:Al,born
Alburg:Al,burg
Alcock:Al,cock
Alcott:Al,cott
Aldine:Al,dine
Aldo's:Al,do's
Aldrin:Ald,rin
Alecto:Alec,to
Aleuts:Aleut,s
Alex's:Al,ex's
Alexis:A,lexis
Alford:Al,ford
Alfred:Alf,red
Alisha:Ali,sha
Alison:Ali,son
Alkaid:Al,kaid
Allied:Al,lied
Allier:Al,lier
Allies:Al,lies
Allock:Al,lock
Alma's:Al,ma's
Almach:Al,mach
Almaty:Al,maty
Alpert:Al,pert
Alphas:Alpha,s
Alpine:Al,pine
Alpoca:Alpo,ca
Altaic:Altai,c
Altair:Altai,r
Altona:Alton,a
Alvada:Al,vada
Alvord:Alvo,rd
Alyssa:A,lyssa
Amagon:Am,agon
Amatis:Amati,s
Amazon:Am,azon
Amberg:Am,berg
Amen's:Am,en's
Amex's:Am,ex's
Amidol:Am,idol
Amiens:A,miens
Amin's:A,min's
Amma's:Am,ma's
Amon's:Am,on's
Amor's:Am,or's
Amoret:Amor,et
Anabel:Ana,bel
Ancona:Anco,na
Ancram:An,cram
Andale:An,dale
Andean:An,dean
Andine:An,dine
Andrea:Andre,a
Andrei:Andre,i
Andres:Andre,s
Andrew:An,drew
Angela:Angel,a
Angell:Angel,l
Angelo:Angel,o
Angier:Angie,r
Angles:Angl,es
Anglia:An,glia
Anglos:Angl,os
Angsts:Angst,s
Anhalt:An,halt
Anjous:Anjou,s
Ankara:An,kara
Anking:An,king
Annada:An,nada
Annona:An,nona
Anshan:An,shan
Ansley:An,sley
Ansted:An,sted
Anthon:An,thon
Antone:An,tone
Antony:An,tony
Antrim:An,trim
Antron:An,tron
Antung:An,tung
Anubis:Anu,bis
Anvers:An,vers
Anzacs:Anza,cs
Apison:Apis,on
Aprils:April,s
Apus's:A,pus's
Arabia:Arabi,a
Arabic:A,rabic
Arabis:A,rabis
Arafat:Ara,fat
Aragon:Ar,agon
Aramco:Aram,co
Aramis:A,ramis
Aranea:Aran,ea
Ararat:Ara,rat
Araxes:A,raxes
Archer:Arch,er
Arcola:Ar,cola
Ardell:Ar,dell
Ardoch:Ard,och
Argive:Ar,give
Arhats:Ar,hats
Arians:Arian,s
Aricas:Arica,s
Arleen:Arlee,n
Arlene:Arlen,e
Arline:Ar,line
Arma's:Ar,ma's
Armada:Arma,da
Armand:Ar,mand
Armani:Ar,mani
Armona:Ar,mona
Armonk:Ar,monk
Armour:Arm,our
Arnaut:Ar,naut
Arno's:Ar,no's
Aromas:A,romas
Aron's:Ar,on's
Artois:Art,ois
Aruban:Aruba,n
Arvada:Ar,vada
Aryans:Ary,ans
Asante:As,ante
Asbury:As,bury
Ascham:As,cham
Ashura:A,shura
Asiago:Asia,go
Asians:Asia,ns
Asmara:As,mara
Aspell:A,spell
Astana:As,tana
Astrid:A,strid
Atglen:At,glen
Athens:A,thens
Atkins:At,kins
Atmans:At,mans
Atmore:At,more
Attica:Attic,a
Atwood:At,wood
Audion:Audi,on
Audrey:Au,drey
Augean:Au,gean
Augres:Aug,res
August:Au,gust
Austen:Au,sten
Auster:Au,ster
Austin:Aus,tin
Avenal:A,venal
Avesta:A,vesta
Avilla:A,villa
Axtell:Axtel,l
Azeris:Azeri,s
Aztecs:Aztec,s
BASICs:BASIC,s
Babees:Ba,bees
Babels:Ba,bels
Babies:B,abies
Babism:Bab,ism
Babist:Babi,st
Babite:Ba,bite
Bacall:Ba,call
Baggie:B,aggie
Bagley:B,agley
Bahais:Bahai,s
Bahian:Bahia,n
Bailly:Ba,illy
Bajans:Bajan,s
Balaam:Bala,am
Balboa:Balbo,a
Balder:B,alder
Bale's:B,ale's
Bali's:Ba,li's
Baltic:Balti,c
Baltis:Balt,is
Bamako:Ba,mako
Banach:Ba,nach
Banate:Banat,e
Bantus:Bantu,s
Barack:Ba,rack
Baraga:Ba,raga
Barcan:Barca,n
Baring:Ba,ring
Barree:Barr,ee
Barron:Barr,on
Barros:Barr,os
Barrow:B,arrow
Barton:Bart,on
Bartow:Bart,ow
Bascom:Basco,m
Bashan:Ba,shan
Basile:Ba,sile
Baskin:Ba,skin
Bass's:B,ass's
Batman:B,atman
Baxley:Bax,ley
Baxter:Bax,ter
Bayard:Ba,yard
Bayern:Bayer,n
Bazine:B,azine
Beaton:Beat,on
Beatty:Be,atty
Beaune:Be,aune
Becker:Beck,er
Becket:Beck,et
Bela's:Be,la's
Belair:Be,lair
Belden:Bel,den
Belgae:Belg,ae
Belk's:B,elk's
Bell's:B,ell's
Bellay:Bel,lay
Bellow:Bel,low
Belmar:Bel,mar
Belone:Be,lone
Belpre:Bel,pre
Belsen:Bel,sen
Belton:Bel,ton
Bembas:Bemba,s
Bement:Be,ment
Benaud:Ben,aud
Benday:Ben,day
Bender:B,ender
Benesh:Be,nesh
Bengal:Ben,gal
Benham:Ben,ham
Benita:Ben,ita
Benito:Beni,to
Bennet:Ben,net
Benson:Ben,son
Benton:Ben,ton
Berean:Be,rean
Berets:Be,rets
Bergen:Berg,en
Berger:Berg,er
Bergoo:Berg,oo
Bering:Be,ring
Bern's:B,ern's
Bertha:Bert,ha
Besant:Be,sant
Bessel:Bes,sel
Best's:Be,st's
Beta's:B,eta's
Bethel:Beth,el
Bettie:Betti,e
Bettye:Betty,e
Bevier:Be,vier
Bewick:Be,wick
Bibles:Bib,les
Bicols:Bi,cols
Bihari:Bihar,i
Bikols:Biko,ls
Bill's:B,ill's
Bimana:Bi,mana
Bimini:Bi,mini
Bingen:Bing,en
Binger:Bing,er
Bingos:Bing,os
Birome:Biro,me
Bishop:Bi,shop
Bisley:Bi,sley
Bivins:Bi,vins
Bladen:B,laden
Blaine:Blain,e
Blairs:B,lairs
Blakey:Blake,y
Blanca:Blanc,a
Blanch:B,lanch
Blanco:Blanc,o
Blimps:B,limps
Bloods:Blood,s
Bluffs:B,luffs
Blythe:B,lythe
Blyton:Bly,ton
Boards:Board,s
Bobbie:Bobbi,e
Boches:Boche,s
Boerne:Boer,ne
Boheas:Bohea,s
Boleyn:Boley,n
Bolshy:Bol,shy
Bolton:Bol,ton
Bonair:Bon,air
Bonham:Bon,ham
Bonita:Bon,ita
Bonlee:Bon,lee
Bonner:Bonn,er
Booker:Book,er
Borger:Borg,er
Borges:Borg,es
Borgia:B,orgia
Botham:Botha,m
Boules:Boule,s
Boulez:Boule,z
Bovary:B,ovary
Bowler:B,owler
Boxers:B,oxers
Boyden:Boyd,en
Boyers:B,oyers
Bozman:Boz,man
Bozrah:Boz,rah
Brad's:B,rad's
Braden:Brad,en
Braggs:B,raggs
Braine:Brain,e
Bram's:B,ram's
Braman:Bram,an
Branch:B,ranch
Brandi:Bran,di
Brando:Bran,do
Brandy:B,randy
Bray's:B,ray's
Brazos:Braz,os
Breaks:B,reaks
Brecht:Br,echt
Brecon:B,recon
Bremen:B,remen
Bren's:Br,en's
Brenda:Bren,da
Breton:Bret,on
Brewer:Br,ewer
Breyer:Br,eyer
Briana:Brian,a
Briand:Brian,d
Bridge:B,ridge
Briggs:B,riggs
Bright:B,right
Brigid:B,rigid
Brigit:Brig,it
Brillo:Brill,o
Brit's:Br,it's
Briton:Brit,on
Brixes:Brix,es
Broads:B,roads
Brogue:B,rogue
Bromos:Bromo,s
Brooks:B,rooks
Browne:Brown,e
Browns:Br,owns
Brules:B,rules
Brum's:B,rum's
Brut's:B,rut's
Brutus:Brut,us
Bryant:Bryan,t
Bubbas:Bubba,s
Budget:Bud,get
Buhler:Buhl,er
Bulgar:Bul,gar
Bulger:Bul,ger
Bundts:Bund,ts
Burgas:Bur,gas
Burger:B,urger
Burgin:Bur,gin
Burgos:Bur,gos
Burket:Bur,ket
Burley:Bur,ley
Burman:B,urman
Burnet:Bur,net
Burris:Burr,is
Bursch:Bur,sch
Burson:B,urson
Burton:Bur,ton
Bwanas:Bwana,s
COBOLs:COBOL,s
Cabins:Ca,bins
Caddos:Caddo,s
Cahone:Ca,hone
Cain's:Ca,in's
Cairns:C,airns
Cajuns:Cajun,s
Calais:Cal,ais
Calder:C,alder
Cale's:C,ale's
Calera:Cal,era
Calhan:Cal,han
Calion:Ca,lion
Callas:Cal,las
Callie:Cal,lie
Callum:Cal,lum
Calmar:Cal,mar
Calvin:Cal,vin
Cambra:Cam,bra
Camden:Cam,den
Cammal:Cam,mal
Camoes:Ca,moes
Campos:Cam,pos
Canaan:Ca,naan
Canada:Ca,nada
Canary:Ca,nary
Candor:Can,dor
Cannae:Can,nae
Cannon:Can,non
Canova:Ca,nova
Cantab:Can,tab
Cantal:Cant,al
Cantil:Can,til
Canton:Can,ton
Cantor:Can,tor
Canute:Can,ute
Capels:Cape,ls
Capone:Ca,pone
Capote:Ca,pote
Capris:Capri,s
Capron:C,apron
Carapa:Cara,pa
Cardin:Card,in
Carian:Caria,n
Caribs:Ca,ribs
Carlin:Carl,in
Carlos:Carl,os
Carlow:Carl,ow
Carney:Carne,y
Carole:Ca,role
Carona:Caro,na
Carrel:Carr,el
Carson:C,arson
